City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,283.05,95,93,1.34,NZ,1696708686
1,ribeira grande,38.5167,-28.7,294.14,77,40,8.23,PT,1696708720
2,olonkinbyen,70.9221,-8.7187,274.98,77,100,6.9,SJ,1696708666
3,adamstown,-25.066,-130.1015,293.15,76,6,5.52,PN,1696708909
4,grytviken,-54.2811,-36.5092,272.59,67,7,5.5,GS,1696708758
5,vila velha,-20.3297,-40.2925,301.12,80,0,8.75,BR,1696708910
6,port-aux-francais,-49.35,70.2167,275.85,79,98,12.43,TF,1696708911
7,blackmans bay,-43.0167,147.3167,277.33,90,6,2.2,AU,1696708911
8,varzea da palma,-17.5981,-44.7308,305.17,38,100,2.05,BR,1696708912
9,enewetak,11.3474,162.3373,302.34,74,74,8.08,MH,1696708676
10,port blair,11.6667,92.75,299.17,89,100,3.09,IN,1696708913
11,west island,-12.1568,96.8225,299.14,83,75,6.17,CC,1696708674
12,chonchi,-42.6128,-73.8092,283.71,90,100,2.44,CL,1696708684
13,forest,37.3638,-79.2897,292.55,43,0,0.45,US,1696708915
14,saipan,15.1355,145.701,301.54,78,40,7.2,MP,1696708774
15,ust-nera,64.5667,143.2,266.6,80,99,1.79,RU,1696708667
16,jamestown,42.097,-79.2353,285.12,86,100,6.17,US,1696708705
17,isafjordur,66.0755,-23.124,278.72,76,95,9.98,IS,1696708687
18,salinas,36.6777,-121.6555,311.8,31,0,1.54,US,1696708868
19,mount isa,-20.7333,139.5,295.02,20,40,2.57,AU,1696708844
20,st. john's,47.5649,-52.7093,287.9,95,100,4.12,CA,1696708804
21,utrik,11.2278,169.8474,301.55,81,18,9.35,MH,1696708919
22,ushuaia,-54.8,-68.3,279.96,49,40,5.66,AR,1696708548
23,iqaluit,63.7506,-68.5145,272.0,92,100,1.03,CA,1696708708
24,mendes,-22.5267,-43.7328,295.37,61,57,1.04,BR,1696708719
25,deqing,30.5448,119.9599,289.79,97,100,1.84,CN,1696708921
26,lisala,2.15,21.5167,294.48,98,72,0.43,CD,1696708922
27,puerto natales,-51.7236,-72.4875,278.4,81,100,14.4,CL,1696708706
28,broken hill,-31.95,141.4333,283.49,59,0,4.53,AU,1696708923
29,crane,31.3974,-102.3501,295.29,31,1,3.39,US,1696708924
30,hadibu,12.65,54.0333,299.92,82,51,1.35,YE,1696708924
31,saint-jean-de-monts,46.7833,-2.0667,293.29,46,6,3.39,FR,1696708925
32,afaahiti,-17.75,-149.2833,301.08,86,14,7.95,PF,1696708926
33,lebu,-37.6167,-73.65,284.47,63,67,7.69,CL,1696708747
34,la mira,18.035,-102.3266,305.15,60,64,4.33,MX,1696708927
35,punta arenas,-53.15,-70.9167,279.21,70,75,10.29,CL,1696708927
36,tolanaro,-25.0319,46.9987,296.19,73,20,9.77,MG,1696708928
37,port lincoln,-34.7333,135.8667,285.0,82,8,4.91,AU,1696708679
38,yellowknife,62.456,-114.3525,278.38,88,75,1.79,CA,1696708715
39,acapulco de juarez,16.8634,-99.8901,304.37,67,100,2.69,MX,1696708845
40,zapolyarnyy,69.4154,30.8136,269.75,83,89,0.86,RU,1696708930
41,tiksi,71.6872,128.8694,262.49,96,50,1.45,RU,1696708736
42,severo-yeniseyskiy,60.3725,93.0408,281.25,87,100,1.34,RU,1696708743
